a	乌鸦 [与roegga同]\n呀 Caezgya vaiq daeuj ～！大家快来呀!\n(见le) 呢 [语气词，表示疑问]\n
alungz	(见naxgwiz) 姨丈[泛指]\n
anax	(lauxheiz) 祖母的妹妹\n
asoi	(见oepsaep) 不清洁，肮脏；龌龊；污秽；不讲究卫生\n
aj	张开\n(见yaek) 将要；快要\n
ajaeu	(见yaekaeu) 必须\n
ajcaeuz	(见gagex) 木架子\n
ajciuq	[方] 一会儿\n
ajdiem	(见yaep) 一会儿；一下子\n
ajga	(见gangqgaq) 张开手臂蹲着烤火的姿势\n
ajhaez	[方] 要么就……\n
ajlah	万一 Mbouj raek liengj bae，～fwn doek yaek baenzlawz guh? 不带伞去，万一下雨怎么办?\n
ajmah	[方] 而己\n
ajngaeb	[方] ngamxngwenx 呼吸急促；喘气；喘息\n
ajngaebngaeb	[方] 呼吸困难，嘴一张一合的样子\n
ajngubngub	[方] 张着嘴，瞪着眼的样子 [指被人驳得无话可说的样子]\n
ajrengz	(见haenqrengz) 使劲；起劲；大力；卖力\n
ajvauvau	[方] 嘴张得大大的样子\n
aq	(见dek) 裂；裂开；爆裂\n
aqngabngab	[方] 裂缝多而大\n
aqngvabngvab	[方] 裂缝很宽\n
ah	[方] 对人称呼的前附加成分\n
adgyad	(见hwetraez) 懒洋洋的\n
ae	咳嗽\n[方] 男的人称量词 [多用于成年男子] Miz sam～．有三个男人\n
aeeb'eb	[方] 轻而慢地咳\n
aegwj	(见guenj) 尽管，只管\n
ae'gyo'gyo	[方] 咳得很厉害，喉头里有痰塞住的咳声\n
ae'ngab	(见haebgyawh) 哮喘，气喘\n
aevunz	(见bouxwnq) 别人；人家\n
aeya	唉呀，哎呀 [表示感叹]\n
aeyo	哎哟 ～! In raixcaix．哎哟!痛得很。\n
aek	[方]najaek；bakaek 胸；胸膛；胸怀\n
aekbuh	衣襟\n
aekdiuq	(见simdiuq) 心惊;胆颤；心悸；心跳\n
aekez	(见aekex) 蛤蚧\n
aekex	[方]aekez；gaekgex；daekdo 蛤蚧  \n
aekgaeb	胸怀狭窄\n
aeknaj	[方] 对小孩迁就  \n
aem	(见noengq) 茁壮；肥壮[指小孩和动物]\n
aemcangz	(见cangz；amqcangz) 窝藏；暗藏；隐藏\n
aemj	(见souh) 稀饭\n(见mbouj) 不\n
aemq	[方]maq；dex；neng；naenj 背 ～lwgnyez 背小孩\n(见longz) 披(衣服)\n
aen	[方]ngeq ①张(桌子，椅子) song～daiz 两张桌子 ②个(蛋，漏斗、果子) song～gyaeq 两个蛋③盏\nsong～daeng 两盏灯 ④座；幢 ～ranz ndeu 一座房子 ⑤只(船) ⑥()辆(车)\n(见ci) ()支(枪)\n[方] ()块(畲地)\n恩惠\n
aenbaez	(见baeznaengz)  平常；日常；平时；往常\n[方] 每次\n
aenbaed	(见ham) 神位；神堂\n
aenbinengh	(见aennungxnengh) 鞦韆\n
aenbix	(见bauei) 胎衣；胞衣\n
aenboemh	[方] 小坛子\n
aenbou	(见cabau) 沙煲\n
aenbyazyiz	(见fagnyauj) 挖花生用的铁制小齿耙\n
aencaqfaenj	(见caeufaenj) 榨米粉的工具\n
aencaqyouz	(见youzcaq) 士榨油机\n
aencaet	(见lwgsaek) 塞子\n
aencamj	罩子[指罩鸡，鸭用的]\n
aencek	(见rungz) (鸡、鸭)笼\n
aencibuh	缝纫机\n
aencingz	恩情\n
aencoeng	[方］gyaeujsaeng; doenggyauj 髻网\n
aencouq	[方]couqbya 挑鱼花用的篓子\n
aencux	(见gaetnuk) 榷，布纽扣[带圈的]\n
aencung	[方] 坛子\n
aendak	托盘\n
aendaez	(见cok) (油，酒)勺\n
aendaengjgu	(见doj) 藤圈，篾圈\n
aendangq	(见daengqgyauz) 扒谷子用的无齿木耙\n
aendojhoh	[方] 长喇叭[一种管乐器]\n
aenduengqnengh	(见aennungxnengh) 鞦韆\n
aengaq	架子\n
aengab	夹棍[刑具之一]\n
aengaen	(见swng) ①量米简[比mbaek大，能装一斤左右] ②()升\n
aengaep	(见dietmeuz) 铁猫[捕鼠或野兽的工具]\n
aengaepnyaen	(见 dietmeuz) 铁猫[捕野兽的工具]\n
aengaet	(见lwggaet) 扣子\n
aengaujfaiq	[方]ngad 土扎棉机\n
aengei	(见lahleiz) 饭箕[盛米、饭用的]\n
aengien	圈子\n
aengiengh	(见rieng) 鱼篓\n
aengungfaiq	弹棉弓\n
aen'gvaekfeiz	(见lwggvaek) 火镰\n
aen'gveuj	(见cuenh) 旋儿\n
aen'gyangj	(见laep) 大箩筐\n
aenhaemh	[方] 每晚\n
aenhujliemz	(见lwggvaek) 火镰\n
aenlaeuh	[方]haeuxlaeuh；couqlaeuh；laeuhdouj 漏斗\n
aenlakfaiq	绕纱架[用手绕上的]\n
aenlingj	车轮的铁圈\n
aenluz	(见cuenh) 旋儿\n
aenlwt	[方]lot 卷纱用的小竹筒\n
aenmban	[方] 大簸箕\n
aenmbuek	(见rok) 水瓢[用竹筒做成的长柄瓢]\n
aenmyok	(见dujva) 花朵\n
aennaw	[方] 每早\n
aennganz	(见nienjraemx；suijnenj) 水碾\n
aenngoenz	[方] 每天；每日；日常\n
aennienj	(见nienjraemx；suijnenj) 水碾\n
aennungxnengh	[方］aenbinengh；aenduengqnengh；yungxyaz 鞦韆\n
aennyag	[方] 横鼓\n
aenrengq	在豆科植物根部形成的根瘤\n
aensujfwngz	[方] 手铐\n
aenvaenz	(见ciengzngoenz) 往常；往日；往时\n
aenvanlouh	[方] 旋涡\n
aenvih	因为\n
aenvonz	(见ndwenngoenz) 日子\n
aenvuek	(见rok) 水瓢[用竹筒做成的长柄瓢]\n
aenvunz	恩人\n
aenyienz	姻缘\n
aenyienh	(见maegyienh) 砚台\n
aenyok	(见rok) 水瓢[用竹筒做成的长柄瓢]\n
aenq	细水长流\n[方]cienghliengh；amq；nanq ①估计；酌量 ②有计划地节制\n
aenqseiz	(见ciuqseiz) 按时；如期\n
aeng	[方]hwngq；gug；oem；oem 闷热\n[方] ①轻佻 Dah neix ～lai．这女孩作风轻佻。 ②逞能 Mwngz gaej～lai。 你不要逞能。\n[方] 噙[眼里含着泪]\n
aengj	(见moeb) 打\n
aengjgwxlinxvaiz	[方] 春菜\n
aengjgyaengj	(见muengzsueng) 慌张\n(见veiznanz) ①为难 ②犹豫\n
aengjsaeng	［方］嬉皮笑脸\n
aengq	[方]mbingq (大便时)闭气使力\n
aep	(见hoed) 胡说；胡诌；发(牢骚)\n①狗追捕鸟兽时的叫声 ②用狗围猎野兽\n
aeu	①要 ②拿;取 ③用 ④娶 ⑤采取……的方法[用在动词后，表示采取某种方式]\n
aeubaz	(见aeuyah) 结婚[指男方]；娶妻\n
aeubawx	(见aeuyah) 结婚[指男方]；娶妻\n
aeuboux	配种［指家禽]\n
aeucungj	配种\n
aeueiq	尊重 ～bohmeh 尊重父母\n
aeufaen	[方]aeugoeng；aeuvaen 交配[指牲畜]\n
aeugoeng	(见aeufaen) 交配[指牲畜]\n
aeulangz	[方]dohmaq 配种[指猪]\n
aeumaex	(见aeuyah) 结婚，娶妻\n
aeumeh	(见aeuyah) 结婚；娶妻\n
aeunaj	要脸，留面子\n
aeunangz	(见aeuyah) 结婚，娶妻\n
aeuvaen	(见aeufaen) 交配[指牲畜]\n
aeuya	(见gyaet) 妇女用线箝拔汗毛的动作\n
aeuyah	[方]aeumeh；aeumaex；aeunangz；aeubaz；aeubawx 结婚[指男方]；娶妻\n
aeuj	[方]cij 紫(色)\n(见ngaeux) 果子过度成熟\n(见oenq) 火烟熏(人)\n(见hoenz) 火烟；烟雾\n
aeuq	[方]omj 炖\n(见oemq) 熏\n
aeuqheiq	(见dauzheiq) 心烦；忧心\n怄气\n
aeuqnaeuq	懊恼\n
ai	[方]bengj 靠；倚靠\n[方] 仰(卧)\n唉\n[方]nieng 嗉\n
aidin	[方]angjdin 脚掌\n
aifwngz	手腕与拇指根之间的部位\n
aihaemh	(见vaiqhaemh) 傍晚\n
ailaeuj	(见ndwqlaeuj) (未熬过的)酒糟\n
aiya	暧呀\n
aiyu	嗳唷\n
aij	(大的物体)歪斜\n
aijat	挺胸昂首，大摇大摆的样子[含贬意] byaij～ 大摇大摆的走\n
aijraij	(见ragraix) 不检点；不小心\n
aijsa	[方] 沙滩；沙洲\n
aixlaix	(见yaij) 松劲；松懈，懈怠；松松垮垮\n
aiq	[方] 也许；可能；大概 De ngoenzneix～mbouj daeuj lo．他今天也许不来了。\n(见ej；doxej) 性交；交配\n
aiqcingz	爱情\n
aiqhaemh	(见banhaemh) 傍晚\n
aiqnaeuz	(见yienznaeuz) 虽然\n
aihnaeuz	(见mboujlwnh) 无论，不论\n
ak	[方]yungj；yongz ①强 ②有本领，有力量，能干；有能力 ③英勇\n[方] (吃得肚子)胀；(腰包钱多而)鼓胀\n[方] 快乐\n(见buet) 跑\n
akmax	(锯木用的)木架[俗称木马]\n
akyoq	(见yakyawj) ①难看 ②丑\n
am	[方] 煮(干饭)\n
amj	[方]hanhcang；ga'ngad；lotndip 汗疮[热天走远路，两腿间摩擦发炎而生的～种红班点]\n
amq	[方] 狗舌面的黑斑点\n阴暗[指天色、阳光]\n①暗暗 ②昏暗 De～roengz gietsim。他暗暗下决心。\n(见aenq) 估计；酌量\n(见gaemz) ()口 Gwn song～haeux 吃两口饭\n
amqcaz	[方] 暗查\n
amqcangz	[方]aemcangz；caegndoj 暗藏\n
amqgaj	[方] 暗杀\n
amqhaih	暗害\n
amqhauh	(见ciudaeuz) 暗号\n
amqriu	暗笑\n
amqsuj	暗锁\n
amqsuenq	暗算\n
an	①安；安置；安装 Dawz aen gihgi neix～ndei dwk．把这台机器安装好。 ②取(名字)\n鞍\n
anbaiz	安排\n
ancang	安装；装修\n
ancap	安插\n
ancienz	安全\n
ancingh	[方] 安静\n安定\n
anduenh	臆断\n
anfaenh	安分\n
angah	(见doz) 投宿，歇宿\n(见ranzdoz) 旅途中投宿的住家\n
angangj	臆说\n
an'gya	安家；落户\n
an'gyaq	(见dajgyaq) 打价；作价；定价\n
anmax	马鞍\n(见capmax) 摆马威；扎马[两手叉腰的姿势]\n
annaeuz	(见gangjnaeuz) 以为 Gou～de bae hagdangz lo．我以为他上学校去了。\n
anndang	安身\n
an'onj	安稳\n
ansim	安心\n
anyienz	安然\n
anj	[方]ngawh，aw；gyaenj 怔，愣 mbat～ 一怔\n(见benq) 片[指面积]\n[方] 突然不省人事\n
anq	案(件)\n按，压[用物件压平]\n
anqcaq	(见 heifouh) 欺负\n
anqcauq	(与gyaqrek同) 锅架[用竹木制成，用以放置锅头]\n
anqcingz	案情\n
angj	[方]liengh；ngengh；yingx 炫耀 ～buh moq hawj vunz yawj．炫耀新衣服给人家看。\n(见lwenq) 耀眼\n
angjak	逞能\n
angjda	(见yienjda) 显眼；醒目\n
